review,label
"['find', 'helpful', 'she', 'take', 'care', 'issue', 'gently']",1.0
"['office', 'wall', 'paper', 'thin', 'could', 'hear', 'another', 'patient', 'telling', 'his', 'story', 'probably', 'not', 'he', 'wanted', 'drew', 'blood', 'left', 'bruise', 'never', 'happened', 'before', 'not', 'going', 'let', 'him']",1.0
"['surprised', 'comment', 'felt', 'opposite', 'several', 'appointment', 'him', 'he', 'never', 'explained', 'condition', 'asked', 'him', 'he', 'annoyed', 'answered', 'attitude', 'felt', 'he', 'wanted', 'get', 'rid', 'asap', 'asked', 'him', 'during', 'last', 'appointment', 'he', 'said', 'idea', 'could', 'people', 'worse', 'simply', 'asking', 'reason', 'could', 'xx', 'he', 'not', 'follow', 'blood', 'test', 'contact', 'family', 'doctor', 'ask', 'certain', 'type', 'blood', 'test', 'eye', 'inflamed', 'went', 'different', 'doctor', 'he', 'said', 'time', 'worse', 'before', 'new', 'doctor', 'following', 'he', 'write', 'report', 'family', 'doctor', 'get', 'blood', 'test', 'never', 'imagine', 'appointment', '1st', 'one', 'clinic', 'he', 'never', 'explained', 'took', 'his', 'time', 'talk', 'wonder', 'condition', 'not', 'his', 'specialty', 'he', 'not', 'bother', 'overall', 'tell', 'he', 'not', 'care']",1.0
"['disappointed', 'visit', 'office', 'multiple', 'reason', 'first', 'waited', 'hour', 'past', 'time', 'original', 'appointment', 'waiting', 'room', 'another', '30', 'patient', 'room', 'insurance', 'receptionist', 'charging', 'much', 'necessary', 'although', 'questioned', 'her', 'asked', 'her', 'check', 'she', 'came', 'back', 'said', 'she', 'wrong', 'insurance', 'information', 'before', 'even', 'though', 'given', 'her', 'copy', 'card', 'prior', 'visit', 'earlier', 'month', 'asked', 'could', 'get', 'result', 'phone', 'informed', 'absolutely', 'necessary', 'doctor', 'explain', 'person', 'finally', 'arrived', 'spent', 'literally', 'le', 'two', 'minute', 'explaining', 'could', 'not', 'figure', 'migraine', 'sometimes', 'happen', 'le', 'enthused', 'expected', 'specialist', 'paid', '150', 'insurance', 'paid', 'even']",0.0
"['doc', 'great', 'helped', 'issue', 'even', 'begin', 'describe']",1.0
"['first', 'met', 'earlier', 'year', 'not', 'expect', 'never', 'see', 'doctor', 'care', 'early', 'sign', 'cardiovascular', 'disease', 'not', 'want', 'put', 'prescription', 'drug', 'suggested', 'toxic', 'element', 'analysis', 'due', 'profession', 'pretty', 'well', 'knew', 'without', 'telling', 'her', 'kind', 'profession', 'work', 'suggested', 'chelation', 'therapy', 'along', 'slight', 'change', 'diet', 'started', 'month', 'ago', 'personable', 'lady', 'brought', 'toxic', 'metal', 'count', 'normal', 'level', 'body', 'leading', 'better', 'cardiovascular', 'health', 'long', 'run', 'kudos', 'momentum', 'health', 'team', 'believer', 'preventive', 'care']",1.0
"['he', 'helpful', 'informative', 'factual', 'knowledgeable', 'his', 'treatment', 'strategy', 'worked', 'right', 'away', 'he', 'confident', 'despite', 'concern', 'he', 'took', 'extra', 'time', 'first', 'ultrasound', 'helped', 'feel', 'comfortable', 'really', 'nervous', 'examined', 'male', 'doctor']",2.0
"['one', 'thing', 'wait', 'hour', 'see', 'doctor', 'another', 'patient', 'seen', 'before', 'clearly', 'later', 'unacceptable']",0.0
"['knowledgeable', 'record', 'scheduling', 'necessary', 'test']",1.0
"['see', 'issue', 'he', 'specializes', 'diabetes']",1.0
"['understand', 'teeth', 'teeth', 'denture', 'put', 'something', 'teeth', 'she', 'said', 'covered', 'insurance', '50', 'not', 'discount', 'paid', '55', 'dollar', 'not', 'happy']",1.0
