commentText,sentiment
receptionist kind came helped difficulty walkingthe dr good patronising would definitely go get thank practice,positive
thanks follow recent blood test concerned symptoms booked appointment tests booked call explain results doctor clear practical thanks,positive
pleasant happy resolve problems always sometimes difficult get right answer one time bloods sent hillingdon hospital wasted time happen due fault mine person attended seemed aware suggested possible per hospital,positive
easy ample parking health centrefairly empty spacious waiting room wait extra 25min seen hca efficient friendly well receptionist,positive
hi problems prescriptions time 10 days since ordered still delivered tried calling 3 times today emergency option 2 waited 20 minutes time one answers gave hence review issues gp service poorly run pharmacy bound reflect badly surgery something needs done,positive
receptionist team always happy help answer phones quickly son appointment doctor morning 1 concern another concern came overnight receptionist clinical team said 2 appointments get concerns addressed time instead coming back another time especially baby,positive
really nice understanding definetly understood knew understand different age ranges help explain things,positive
four children youngest 2 learning difficulties also issues straight point gps reception ’ fault sometimes wait agree care received 100 gps explain support everything even print offs read medical issue need remember best provide us patient praise without would help us,positive
reception chaos check machine broken long queue patients waiting booked phlebotomist pleasant,positive
pleasure taking 2yearold son see someone 7th february confidently say best experience weve ever gp appointment son person saw highly efficient knowledgeable thorough physical assessments truly stood incredible compassion patience son little one typically anxious doctor visits especially physical checks involved however immediately recognised fear approached kindness understanding gentle empathetic approach made world difference honestly believe doctors adopted approach children would feel much ease gp visits ’ beyond grateful care attention son received ’ recommend enough anyone looking doctor truly understands needs children ’ important person truly appreciated clinic highly skilled also incredibly compassionate without doubt someone genuinely understands cares children qualities recognised celebrated warmest regards son walked feeling happy confident ’ sure much less anxious future gp visits,positive
efficiency staff helping problem getting medication holiday sent consultation contacted helped health problem,positive
fast efficient service first initial contact sent bloods seen results follow booked within week fault practice,positive
visit mental health referral psychotherapy given set targets achieve order secure every time see speak chatfield people cared way increased self worth point clean sober looking job never saw moment coming joined chatfield wonderful community health care providers grateful care ’ receiving hope back,positive
would like thank receptionists nurse help polite informative nurse saw exceptional way treated put ease recent visits,positive
first minor op pretty nervous reassured throughout team given thorough guidance aftercare instructions helped take mind things though felt lot less discomfort expecting thank first class round,positive
needed visit surgery doctor professional thorough caring resulting referral hospital tests needed listened understood resulting quick diagnosis thank received phone call member staff today explain appointment friendly caring concerned immediately put mind rest thank,positive
